id,name,description,height,weight,category,overgrow,hp,attack,defense,specattack,specdefense,speed,type1,type2,weakness1,weakness2,weakness3,weakness4,weakness5,weakness6,weakness7
35,Clefairy,"On every night of a full moon, groups of this Pokemon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.","2' 00""",16.5,Fairy,Cute Charm,3,2,2,3,3,2,Fairy,,Steel, Poison,,,,,
36,Clefable,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.","4' 03""",88.2,Fairy,Cute Charm,4,4,3,5,4,3,Fairy,,Steel, Poison,,,,,
37,Vulpix,"Inside Vulpix's body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokemon releases flames from its mouth to prevent its body from growing too hot.","2' 00""",21.8,Fox,Flash Fire,2,2,2,2,3,4,Fire,,Ground, Rock, Water,,,,
38,Ninetales,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokemon is highly intelligent-it can understand human speech.,"3' 07""",43.9,Fox,Flash Fire,3,4,3,4,4,5,Fire,,Ground, Rock, Water,,,,
39,Jigglypuff,"When this Pokemon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life.","1' 08""",12.1,Balloon,Cute Charm,5,2,1,2,1,1,Normal, Fairy,Steel, Poison,,,,,
40,Wigglytuff,"Wigglytuff's body is very flexible. By inhaling deeply, this Pokemon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon.","3' 03""",26.5,Balloon,Cute Charm,5,4,2,4,2,3,Normal, Fairy,Steel, Poison,,,,,
41,Zubat,"Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down.","2' 07""",16.5,Bat,Inner Focus,2,2,2,1,2,3,Poison, Flying,Electric, Ice, Psychic, Rock,,,
42,Golbat,"Golbat bites down on prey with its four fangs and drinks the victim's blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokemon.","5' 03""",121.3,Bat,Inner Focus,3,4,3,3,3,5,Poison, Flying,Electric, Ice, Psychic, Rock,,,
43,Oddish,"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokemon's feet are thought to change shape and become similar to the roots of trees.","1' 08""",11.9,Weed,Chlorophyll,2,3,3,4,3,2,Grass, Poison,Fire, Flying, Ice, Psychic,,,
44,Gloom,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.","2' 07""",19,Weed,Chlorophyll,3,3,3,4,3,2,Grass, Poison,Fire, Flying, Ice, Psychic,,,
45,Vileplume,"Vileplume has the world's largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokemon catches and devours them.","3' 11""",41,Flower,Chlorophyll,3,4,4,5,4,3,Grass, Poison,Fire, Flying, Ice, Psychic,,,
46,Paras,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokemon host. They are highly valued as a medicine for extending life.,"1' 00""",11.9,Mushroom,Effect Spore,2,4,3,2,2,2,Bug, Grass,Fire, Flying, Bug, Ice, Poison, Rock,
47,Parasect,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.","3' 03""",65,Mushroom,Effect Spore,3,5,4,3,3,2,Bug, Grass,Fire, Flying, Bug, Ice, Poison, Rock,
48,Venonat,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.","3' 03""",66.1,Insect,Compound Eyes,3,3,2,2,2,3,Bug, Poison,Fire, Flying, Psychic, Rock,,,
49,Venomoth,"Venomoth is nocturnal-it is a Pokemon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.","4' 11""",27.6,Poison Moth,Shield Dust,3,3,3,4,3,5,Bug, Poison,Fire, Flying, Psychic, Rock,,,
50,Diglett,"Diglett are raised in most farms. The reason is simple- wherever this Pokemon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.","0' 08""",1.8,Mole,Sand Veil,1,3,1,2,2,5,Ground,,Grass, Ice, Water,,,,
51,Dugtrio,"Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.","2' 04""",73.4,Mole,Sand Veil,2,4,2,2,3,6,Ground,,Grass, Ice, Water,,,,
52,Meowth,"Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokemon loves shiny coins that glitter with light.","1' 04""",9.3,Scratch Cat,Pickup,2,2,2,2,2,5,Normal,,Fighting,,,,,,
53,Persian,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokemon's surrounding vicinity. It becomes docile if grabbed by the whiskers.,"3' 03""",70.5,Classy Cat,Technician,3,4,3,3,3,6,Normal,,Fighting,,,,,,
54,Psyduck,"If it uses its mysterious power, Psyduck can't remember having done so. It apparently can't form a memory of such an event because it goes into an altered state that is much like deep sleep.","2' 07""",43.2,Duck,Damp,2,3,2,3,2,3,Water,,Electric, Grass,,,,,
55,Golduck,"Golduck is the fastest swimmer among all Pokemon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas.","5' 07""",168.9,Duck,Damp,3,4,3,5,3,5,Water,,Electric, Grass,,,,,
56,Mankey,"When Mankey starts shaking and its nasal breathing turns rough, it's a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.","1' 08""",61.7,Pig Monkey,Vital Spirit,2,4,2,2,2,4,Fighting,,Flying, Psychic, Fairy,,,,
57,Primeape,"When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.","3' 03""",70.5,Pig Monkey,Vital Spirit,3,5,3,3,3,5,Fighting,,Flying, Psychic, Fairy,,,,
58,Growlithe,"Growlithe has a superb sense of smell. Once it smells anything, this Pokemon won't forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.","2' 04""",41.9,Puppy,Intimidate,2,4,2,3,2,3,Fire,,Ground, Rock, Water,,,,
59,Arcanine,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokemon's body is its source of power.","6' 03""",341.7,Legendary,Intimidate,4,6,4,5,3,5,Fire,,Ground, Rock, Water,,,,
60,Poliwag,"Poliwag has a very thin skin. It is possible to see the Pokemon's spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.","2' 00""",27.3,Tadpole,Damp,2,3,2,2,2,5,Water,,Electric, Grass,,,,,
61,Poliwhirl,"The surface of Poliwhirl's body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle.","3' 03""",44.1,Tadpole,Damp,3,3,3,2,2,5,Water,,Electric, Grass,,,,,
62,Poliwrath,"Poliwrath's highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokemon can swim back and forth across the ocean without effort.","4' 03""",119,Tadpole,Damp,4,5,4,3,4,4,Water, Fighting,Electric, Flying, Grass, Psychic, Fairy,,
63,Abra,"Abra needs to sleep for eighteen hours a day. If it doesn't, this Pokemon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping.","2' 11""",43,Psi,Inner Focus,1,1,1,5,2,5,Psychic,,Bug, Dark, Ghost,,,,
64,Kadabra,"Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pokemon is said to be limited to half the usual amount of its telekinetic powers.","4' 03""",124.6,Psi,Inner Focus,2,2,2,6,3,6,Psychic,,Bug, Dark, Ghost,,,,
65,Alakazam,"Alakazam's brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokemon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world.","4' 11""",105.8,Psi,Inner Focus,2,3,2,7,4,6,Psychic,,Bug, Dark, Ghost,,,,
66,Machop,Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.,"2' 07""",43,Superpower,Guts,3,4,2,2,2,2,Fighting,,Flying, Psychic, Fairy,,,,
67,Machoke,"Machoke undertakes bodybuilding every day even as it helps people with tough, physically demanding labor. On its days off, this Pokemon heads to the fields and mountains to exercise and train.","4' 11""",155.4,Superpower,Guts,3,5,3,2,3,3,Fighting,,Flying, Psychic, Fairy,,,,
68,Machamp,"Machamp is known as the Pokemon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms, the battle is all but over. The hapless foe is thrown far over the horizon.","5' 03""",286.6,Superpower,Guts,4,7,4,3,4,3,Fighting,,Flying, Psychic, Fairy,,,,
69,Bellsprout,"Bellsprout's thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokemon spits a corrosive fluid that melts even iron.","2' 04""",8.8,Flower,Chlorophyll,2,4,2,3,1,2,Grass, Poison,Fire, Flying, Ice, Psychic,,,
70,Weepinbell,"Weepinbell has a large hook on its rear end. At night, the Pokemon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.","3' 03""",14.1,Flycatcher,Chlorophyll,3,5,2,4,2,3,Grass, Poison,Fire, Flying, Ice, Psychic,,,
71,Victreebel,"Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokemon swallows it whole.","5' 07""",34.2,Flycatcher,Chlorophyll,3,5,3,5,3,4,Grass, Poison,Fire, Flying, Ice, Psychic,,,
72,Tentacool,Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokemon shoots beams from the small round organ above its eyes.,"2' 11""",100.3,Jellyfish,Clear Body,2,2,2,2,4,4,Water, Poison,Electric, Ground, Psychic,,,,
73,Tentacruel,Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time.,"5' 03""",121.3,Jellyfish,Clear Body,3,4,3,4,5,5,Water, Poison,Electric, Ground, Psychic,,,,
74,Geodude,"When Geodude sleeps deeply, it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly. In the morning, this Pokemon rolls downhill in search of food.","1' 04""",44.1,Rock,Rock Head,2,4,4,1,1,1,Rock, Ground,Grass, Water, Fighting, Ground, Ice, Steel,
75,Graveler,"Rocks are Graveler's favorite food. This Pokemon will climb a mountain from the base to the summit, crunchingly feasting on rocks all the while. Upon reaching the peak, it rolls back down to the bottom.","3' 03""",231.5,Rock,Rock Head,2,5,5,2,2,2,Rock, Ground,Grass, Water, Fighting, Ground, Ice, Steel,
76,Golem,"Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokemon's course.","4' 07""",661.4,Megaton,Rock Head,3,6,6,3,3,3,Rock, Ground,Grass, Water, Fighting, Ground, Ice, Steel,
77,Ponyta,Ponyta is very weak at birth. It can barely stand up. This Pokemon becomes stronger by stumbling and falling to keep up with its parent.,"3' 03""",66.1,Fire Horse,Run Away,2,4,3,3,3,5,Fire,,Ground, Rock, Water,,,,
78,Rapidash,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokemon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.","5' 07""",209.4,Fire Horse,Run Away,3,5,3,4,3,6,Fire,,Ground, Rock, Water,,,,
79,Slowpoke,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokemon often forgets what it's doing and often spends entire days just loafing at water's edge.","3' 11""",79.4,Dopey,Oblivious,4,3,3,2,2,1,Water, Psychic,Bug, Dark, Electric, Ghost, Grass,,
80,Slowbro,"Slowbro's tail has a Shellder firmly attached with a bite. As a result, the tail can't be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.","5' 03""",173.1,Hermit Crab,Oblivious,4,4,5,5,3,2,Water, Psychic,Bug, Dark, Electric, Ghost, Grass,,
81,Magnemite,Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokemon becomes incapable of flight if its internal electrical supply is depleted.,"1' 00""",13.2,Magnet,Sturdy,1,2,3,5,2,3,Electric, Steel,Ground, Fire, Fighting,,,,
82,Magneton,"Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokemon inside a Poke Ball.","3' 03""",132.3,Magnet,Sturdy,2,3,4,6,3,4,Electric, Steel,Ground, Fire, Fighting,,,,
83,Farfetch'd,"Farfetch'd is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokemon has been known to fight with others over stalks.","2' 07""",33.1,Wild Duck,Keen Eye,2,3,3,3,3,3,Normal, Flying,Electric, Ice, Rock,,,,
84,Doduo,"Doduo's two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokemon possessing different sets of brains.","4' 07""",86.4,Twin Bird,Run Away,2,4,2,2,2,4,Normal, Flying,Electric, Ice, Rock,,,,
85,Dodrio,"Apparently, the heads aren't the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest.","5' 11""",187.8,Triple Bird,Run Away,3,6,3,3,3,5,Normal, Flying,Electric, Ice, Rock,,,,
86,Seel,"Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.","3' 07""",198.4,Sea Lion,Thick Fat,3,2,3,2,3,3,Water,,Electric, Grass,,,,,
87,Dewgong,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokemon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,"5' 07""",264.6,Sea Lion,Thick Fat,4,4,4,3,4,4,Water, Ice,Electric, Fighting, Grass, Rock,,,
88,Grimer,Grimer emerged from the sludge that settled on a polluted seabed. This Pokemon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.,"2' 11""",66.1,Sludge,Stench,3,4,2,2,2,2,Poison,,Ground, Psychic,,,,,
89,Muk,"This Pokemon's favorite food is anything that is repugnantly filthy. In dirty towns where people think nothing of throwing away litter on the streets, Muk are certain to gather.","3' 11""",66.1,Sludge,Stench,4,5,3,3,4,3,Poison,,Ground, Psychic,,,,,
90,Shellder,"At night, this Pokemon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.","1' 00""",8.8,Bivalve,Shell Armor,2,3,4,2,1,2,Water,,Electric, Grass,,,,,
91,Cloyster,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokemon shoots spikes from its shell using the same system.","4' 11""",292.1,Bivalve,Shell Armor,2,5,8,4,2,4,Water, Ice,Electric, Fighting, Grass, Rock,,,
92,Gastly,"Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokemon cluster under the eaves of houses to escape the ravages of wind.","4' 03""",0.2,Gas,Levitate,2,2,2,5,2,4,Ghost, Poison,Dark, Ghost, Psychic,,,,
93,Haunter,"Haunter is a dangerous Pokemon. If one beckons you while floating in darkness, you must never approach it. This Pokemon will try to lick you with its tongue and steal your life away.","5' 03""",0.2,Gas,Levitate,2,3,2,6,2,5,Ghost, Poison,Dark, Ghost, Psychic,,,,
94,Gengar,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.","4' 11""",89.3,Shadow,Levitate,3,3,3,6,3,6,Ghost, Poison,Dark, Ghost, Psychic,,,,
95,Onix,"Onix has a magnet in its brain. It acts as a compass so that this Pokemon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.","28' 10""",463,Rock Snake,Rock Head,2,2,7,1,2,4,Rock, Ground,Grass, Water, Fighting, Ground, Ice, Steel,
96,Drowzee,"If your nose becomes itchy while you are sleeping, it's a sure sign that one of these Pokemon is standing above your pillow and trying to eat your dream through your nostrils.","3' 03""",71.4,Hypnosis,Insomnia,3,3,2,2,4,2,Psychic,,Bug, Dark, Ghost,,,,
97,Hypno,"Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokemon searches for prey, it polishes the pendulum.","5' 03""",166.7,Hypnosis,Insomnia,3,4,3,4,5,4,Psychic,,Bug, Dark, Ghost,,,,
98,Krabby,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokemon can be seen squabbling with each other over territory.","1' 04""",14.3,River Crab,Shell Armor,2,5,4,1,1,3,Water,,Electric, Grass,,,,,
99,Kingler,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokemon quickly tires.","4' 03""",132.3,Pincer,Shell Armor,2,7,5,2,2,4,Water,,Electric, Grass,,,,,
100,Voltorb,Voltorb is extremely sensitive-it explodes at the slightest of shocks. It is rumored that it was first created when a Poke Ball was exposed to a powerful pulse of energy.,"1' 08""",22.9,Ball,Static,2,2,2,3,2,5,Electric,,Ground,,,,,,
101,Electrode,One of Electrode's characteristics is its attraction to electricity. It is a problematical Pokemon that congregates mostly at electrical power plants to feed on electricity that has just been generated.,"3' 11""",146.8,Ball,Static,3,3,3,4,3,7,Electric,,Ground,,,,,,
102,Exeggcute,"This Pokemon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution.","1' 04""",5.5,Egg,Chlorophyll,3,2,4,3,2,2,Grass, Psychic,Bug, Dark, Fire, Flying, Ghost, Ice, Poison
103,Exeggutor,"Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.","6' 07""",264.6,Coconut,Chlorophyll,4,5,4,6,3,3,Grass, Psychic,Bug, Dark, Fire, Flying, Ghost, Ice, Poison
104,Cubone,"Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokemon wears are made by the tears it sheds.","1' 04""",14.3,Lonely,Rock Head,2,3,4,2,2,2,Ground,,Grass, Ice, Water,,,,
105,Marowak,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokemon's tempered and hardened spirit is not easily broken.,"3' 03""",99.2,Bone Keeper,Rock Head,3,4,5,2,3,3,Ground,,Grass, Ice, Water,,,,
106,Hitmonlee,"Hitmonlee's legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.","4' 11""",109.8,Kicking,Limber,2,6,2,2,5,5,Fighting,,Flying, Psychic, Fairy,,,,
